Country,Year,Solar (TWh),Wind (TWh),Hydro (TWh)
France,2004,0.010,0.590,58.040
France,2005,0.010,0.960,50.140
France,2006,0.010,2.180,54.880
France,2007,0.020,4.070,55.990
France,2008,0.040,5.690,62.160
France,2009,0.170,7.910,55.490
France,2010,0.620,9.940,61.200
France,2011,2.330,12.370,45.740
France,2012,4.430,15.180,59.830
France,2013,5.190,16.140,71.920
France,2014,6.390,17.320,63.770
France,2015,7.750,21.420,55.560
France,2016,8.660,21.380,60.840
France,2017,8.870,24.610,50.000
France,2018,11.150,28.600,65.110
France,2019,12.020,34.720,56.910
France,2020,13.090,40.050,62.520
France,2021,15.280,37.120,59.540
France,2022,19.340,38.000,45.560
France,2023,22.590,48.050,55.900
France,2024,24.870,43.000,71.120
Japan,2004,1.270,1.440,91.670
Japan,2005,1.630,1.910,77.560
Japan,2006,2.000,2.130,88.810
Japan,2007,2.310,2.740,74.510
Japan,2008,2.590,2.940,75.160
Japan,2009,3.050,3.430,70.470
Japan,2010,3.980,3.930,88.500
Japan,2011,5.440,4.460,82.490
Japan,2012,7.370,4.730,77.100
Japan,2013,12.910,5.130,79.330
Japan,2014,23.550,5.010,81.710
Japan,2015,34.540,5.220,85.770
Japan,2016,43.330,5.340,79.430
Japan,2017,54.040,6.220,79.240
Japan,2018,61.220,7.370,81.000
Japan,2019,67.430,7.460,73.920
Japan,2020,75.920,8.410,78.330
Japan,2021,84.180,9.540,79.630
Japan,2022,91.070,9.420,74.870
Japan,2023,96.360,9.960,74.530
Japan,2024,96.700,11.540,79.450
United Kingdom,2004,0.000,1.940,4.840
United Kingdom,2005,0.010,2.900,4.920
United Kingdom,2006,0.010,4.220,4.590
United Kingdom,2007,0.010,5.270,5.080
United Kingdom,2008,0.020,7.130,5.140
United Kingdom,2009,0.020,9.280,5.230
United Kingdom,2010,0.040,10.290,3.590
United Kingdom,2011,0.240,15.960,5.690
United Kingdom,2012,1.350,19.840,5.310
United Kingdom,2013,2.010,28.400,4.700
United Kingdom,2014,4.050,31.950,5.890
United Kingdom,2015,7.530,40.270,6.300
United Kingdom,2016,10.410,37.160,5.370
United Kingdom,2017,11.460,49.650,5.880
United Kingdom,2018,12.670,56.910,5.440
United Kingdom,2019,12.420,63.840,5.930
United Kingdom,2020,12.550,75.620,6.880
United Kingdom,2021,12.130,64.930,5.420
United Kingdom,2022,13.340,80.210,5.660
United Kingdom,2023,13.880,82.150,5.540
United Kingdom,2024,14.790,83.280,5.760
